t_name,male_14A,male_14B,male_14C,male_14D,female_14A,female_14B,female_14C,female_14D,gene_name
FBtr0114258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR41571
FBtr0346770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG45784
FBtr0302440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR12798
FBtr0302347,22.995892,38.139065,11.577139,20.456739000000002,60.885391000000006,13.378373000000002,12.462192,17.807884,CR40182
FBtr0346769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG45783
FBtr0345282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45220
FBtr0345281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45220
FBtr0300207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spok
FBtr0113885,13.260360999999998,17.239393,23.440947,15.497013,16.489952,16.836012,16.680981,5.853689,Parp
FBtr0301810,22.547806,21.050028,16.936657,17.503967000000003,30.254112,13.869886,9.486464999999999,9.371358,Alg-2
FBtr0113895,10.344075,68.235687,73.268066,83.583923,21.008986,69.35215,57.466698,58.96316899999999,Tim17b
FBtr0345179,166.783005,73.92840600000001,79.380623,90.557098,223.75581400000002,75.13801600000001,62.26099,63.882309,Tim17b
FBtr0301812,17.207710000000002,33.118922999999995,24.064606,31.374651,42.41988,27.468718,18.271107,19.138815,CG41128
FBtr0113990,15.567173,1.492802,19.073153,0.0,20.698704,42.197868,15.358982999999998,25.469652,CG41099
FBtr0113991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG41099
FBtr0344573,0.0,14.376467000000002,0.0,0.0,6.068427,0.0,0.0,0.0,CG41099
FBtr0113989,15.296122,27.156288,15.964554999999999,0.0,16.383141000000002,2.847979,3.116651,7.428649000000001,CG41099
FBtr0336454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42402
FBtr0339974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42402
FBtr0301942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42402
FBtr0113694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0302850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0113687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0113690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0113692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0302846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0302847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0302848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0302849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gfat1
FBtr0114267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR41601
FBtr0333189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG40198
FBtr0301809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG40198
FBtr0078962,14.103013,18.570511,81.08506,120.82751499999999,14.535560999999998,40.93845,118.381996,153.487686,CG12581
FBtr0078961,1.050332,0.0,0.0,0.0,0.9323370000000001,0.8899799999999999,5.512268,6.260028,CG12581
FBtr0308946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR33294
FBtr0078989,0.487084,3.430243,0.712815,0.0,1.1096190000000001,0.970843,0.7062,0.0,Dsk
FBtr0308945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR33294
FBtr0078964,15.693093,10.812806,15.661160999999998,0.0,7.323932000000001,4.513701,11.247373,11.587598,CG12582
FBtr0306022,0.0,0.930588,0.0,0.0,0.0,0.0,0.757249,0.0,CG12582
FBtr0336703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG12582
FBtr0336704,0.0,2.259893,0.0,0.0,0.0,1.277471,0.0,0.0,CG12582
FBtr0336702,1.664168,1.54556,1.238918,0.0,3.811692,0.7294649999999999,1.403585,2.6420150000000002,CG12582
FBtr0078988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14636
FBtr0111206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14636
FBtr0078965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aux
FBtr0078987,0.099694,0.0,0.151975,0.347506,0.14283800000000002,0.0,0.0,0.337497,CG31516
FBtr0078966,77.47637900000001,80.119781,73.95919,27.346885999999998,70.030579,96.154587,91.592751,47.972640999999996,aux
FBtr0336705,0.466105,1.557282,5.821382,1.5013459999999998,0.0,3.478968,0.0,1.536698,aux
FBtr0336706,1.61209,1.6964169999999998,2.203373,0.0,0.0,1.3054569999999999,0.0,0.0,aux
FBtr0078986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DhpD
FBtr0078985,168.012573,175.782593,206.762909,240.25102200000003,196.796326,170.527954,214.726105,212.36886600000003,CG14641
FBtr0078967,32.31897,36.101836999999996,42.134796,38.448059,35.82692,34.947868,41.524387,37.279076,abs
FBtr0078968,0.0,0.0,1.899127,0.0,0.665455,0.0,0.0,0.0,Gel
FBtr0078969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0078973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0309256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0336707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0078971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0309257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gel
FBtr0089688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14642
FBtr0309258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14642
FBtr0089687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14642
